success,timestamp,base,date,rates
True,2023-06-16 15:05:03,EUR,2023-06-16,41.753323
True,2023-06-16 15:05:03,EUR,2023-06-16,12514.027502
True,2023-06-16 15:05:03,EUR,2023-06-16,2957749.652253
True,2023-06-16 15:05:03,EUR,2023-06-16,29.579825
True,2023-06-16 15:05:03,EUR,2023-06-16,25710.250539
True,2023-06-16 15:05:03,EUR,2023-06-16,129.04107
True,2023-06-16 15:05:03,EUR,2023-06-16,2.9614219999999998
True,2023-06-16 15:05:03,EUR,2023-06-16,654.285345
True,2023-06-16 15:05:03,EUR,2023-06-16,0.04535
True,2023-06-16 15:05:03,EUR,2023-06-16,0.000557
True,2023-06-16 15:05:03,EUR,2023-06-16,2.9529639999999997
True,2023-06-16 15:05:03,EUR,2023-06-16,0.818808
True,2023-06-16 15:05:03,EUR,2023-06-16,654.285345
True,2023-06-16 15:05:03,EUR,2023-06-16,119.660873
True,2023-06-16 15:05:03,EUR,2023-06-16,273.490585
True,2023-06-16 15:05:03,EUR,2023-06-16,19.869282
True,2023-06-16 15:05:03,EUR,2023-06-16,9835.239377
True,2023-06-16 15:05:03,EUR,2023-06-16,21.098158
True,2023-06-16 15:05:03,EUR,2023-06-16,351.835537
